credit_history,credit_amount,employment,property_magnitude,age,class
'existing paid',10366,>=7,'life insurance',42,good
'critical/other existing credit',1872,unemployed,'no known property',36,good
'existing paid',6758,1<=X<4,car,31,bad
'existing paid',3857,1<=X<4,'life insurance',40,good
'existing paid',3190,1<=X<4,'real estate',24,bad
'existing paid',1391,1<=X<4,'real estate',27,good
?,1740,>=7,'real estate',30,good
'delayed previously',4370,4<=X<7,'life insurance',26,bad
'delayed previously',4463,1<=X<4,car,26,bad
'existing paid',3622,?,'life insurance',57,good
'critical/other existing credit',682,4<=X<7,car,51,good
'existing paid',2273,4<=X<7,car,32,good
'critical/other existing credit',7855,1<=X<4,'real estate',25,bad
'critical/other existing credit',1480,unemployed,'no known property',66,good
'critical/other existing credit',1169,>=7,'real estate',67,good
'all paid',7824,<1,?,40,good
'critical/other existing credit',6615,unemployed,'no known property',75,good
'critical/other existing credit',2124,1<=X<4,'real estate',24,bad
'existing paid',1082,>=7,car,27,good
'critical/other existing credit',1154,?,'real estate',37,good
'existing paid',2522,?,'life insurance',39,good
'existing paid',3079,1<=X<4,'real estate',36,good
'existing paid',1393,1<=X<4,'real estate',31,good
'critical/other existing credit',2728,4<=X<7,'real estate',35,good
'critical/other existing credit',1585,4<=X<7,'life insurance',40,good
'delayed previously',717,>=7,car,54,good
'existing paid',4169,1<=X<4,'life insurance',28,good
'existing paid',1246,<1,'real estate',23,bad
'existing paid',1534,<1,'real estate',23,bad
'existing paid',2251,1<=X<4,car,46,good
'critical/other existing credit',4281,1<=X<4,car,23,bad
'critical/other existing credit',1530,1<=X<4,'life insurance',32,bad
'existing paid',3527,<1,'life insurance',45,good
'existing paid',7966,<1,car,30,good
'delayed previously',2225,>=7,'no known property',57,bad
'existing paid',2389,<1,car,27,good
'critical/other existing credit',385,4<=X<7,'real estate',58,good
'critical/other existing credit',2743,>=7,car,29,good
'existing paid',1424,>=7,'real estate',55,good
'existing paid',12976,unemployed,'no known property',38,bad
'delayed previously',4771,4<=X<7,'life insurance',51,good
'critical/other existing credit',976,>=7,car,35,good
'existing paid',10722,<1,'real estate',35,good
'existing paid',2712,>=7,'life insurance',41,bad
'critical/other existing credit',1231,>=7,'real estate',32,good
'existing paid',2406,4<=X<7,'real estate',23,bad
'delayed previously',8086,>=7,car,42,bad
'existing paid',1721,<1,'real estate',36,good
'existing paid',3965,<1,car,34,bad
'critical/other existing credit',1393,<1,car,35,good
'existing paid',1101,1<=X<4,'real estate',27,good
'no credits/all paid',5293,unemployed,'life insurance',50,bad
'existing paid',1092,1<=X<4,'real estate',49,good
'existing paid',1199,4<=X<7,'life insurance',67,good
'existing paid',1453,<1,'real estate',26,good
?,802,>=7,car,37,bad
'existing paid',2675,>=7,car,40,good
'critical/other existing credit',1382,1<=X<4,?,28,good
'existing paid',1308,>=7,car,38,good
'critical/other existing credit',5507,>=7,?,44,good
'existing paid',4675,<1,car,20,good
'existing paid',3386,>=7,'no known property',35,bad
'existing paid',10144,4<=X<7,'real estate',?,good
'existing paid',4594,<1,car,32,good
