name,genre,platform,year_of_release,na_sales,eu_sales,global_sales,user_score
alter_ego,simulation,pc,1985,0,0.03,0.03,5.8
simcity,simulation,pc,1988,0,0.02,0.03,2.2
doom,shooter,pc,1992,0.02,0,0.03,8.3
star_wars:dark_forces,shooter,pc,1994,1.09,0.77,1.95,7.7
battle_arena_toshinden,fighting,ps,1994,0.39,0.26,1.27,6.3
resident_evil,action,ps,1996,2.05,1.16,5.05,9
tekken_2,fighting,ps,1996,2.26,1.89,5.74,8.9
diablo,role_playing,pc,1996,0.01,1.58,1.59,8.7
tomb_raider,action,ps,1996,2.29,1.97,4.63,8.6
tomb_raider,action,pc,1996,0.96,0.07,1.03,8.5
wipeout_xl,racing,ps,1996,0.14,0.1,0.25,8.5
parappa_the_rapper,misc,ps,1996,0.26,0.16,1.92,7.4
super_puzzle_fighter_ii_turbo,puzzle,ps,1996,0.08,0.05,not_available,7.4
castlevania:symphony_of_the_night,platform,ps,1997,0.58,0.4,1.27,9.4
starcraft,strategy,pc,1998,0,0.04,0.05,9.2
r4:ridge_racer_type_4,racing,ps,1998,0.68,0.46,2.06,9.2
resident_evil_2,action,ps,1998,1.88,1.47,5.82,9.2
lunar:silver_star_story_complete,role_playing,ps,1998,0.27,0.18,0.55,9.1
oddworld:abes_exoddus,platform,ps,1998,0.55,0.38,0.99,9.1
tekken_3,fighting,ps,1998,3.27,2.22,not_available,9.1
homeworld,strategy,pc,1998,0,0.02,0.02,9
crash_bandicoot_3:warped,platform,ps,1998,3.68,1.75,7.13,8.9
parasite_eve,role_playing,ps,1998,0.94,0.07,2.1,8.9
iss_pro_evolution,sports,ps,1998,0,0,0.76,8.7
caesar_iii,strategy,pc,1998,0,0.03,0.03,8.6
pharaoh,strategy,pc,1998,0,0.02,0.02,8.6
tomb_raider:the_last_revelation,action,pc,1998,0.41,0,0.41,8.6
dead_or_alive,fighting,ps,1998,0.09,0.06,0.28,8.6
medal_of_honor,shooter,ps,1998,1.44,1.09,2.67,8.6
brave_fencer_musashi,role_playing,ps,1998,0.25,0.17,1.14,8.5
star_ocean:the_second_story,role_playing,ps,1998,0.26,0.1,1.1,8.5
street_fighter_alpha_3,fighting,ps,1998,0.38,0.12,1.03,8.5
suikoden_ii,role_playing,ps,1998,0.15,0.1,0.68,8.4
xenogears,role_playing,ps,1998,0.29,0.19,1.46,8.4
bomberman_party_edition,puzzle,ps,1998,0.07,0.05,0.12,8.3
tomb_raider_iii:adventures_of_lara_croft,action,pc,1998,0.59,0.03,0.62,8.2
strikers_1945,shooter,ps,1998,0.07,0.05,0.12,8.2
sim_theme_park,strategy,pc,1998,2.04,0.04,2.08,8
grand_theft_auto_2,action,ps,1998,1.13,2.07,3.42,8
gundam_battle_assault,fighting,ps,1998,0.13,0.09,0.23,7.8
silhouette_mirage,platform,ps,1998,0.03,0.02,0.05,7.5
